0.000000000000000000e+00,3.000000000000000000e+01
9.000000000000000222e-01,3.000000000000000000e+01
1.899999999999999911e+00,3.000000000000000000e+01
2.799999999999999822e+00,3.000000000000000000e+01
3.700000000000000178e+00,3.000000000000000000e+01
4.599999999999999645e+00,3.000000000000000000e+01
5.599999999999999645e+00,3.000000000000000000e+01
6.500000000000000000e+00,3.000000000000000000e+01
7.400000000000000355e+00,3.000000000000000000e+01
8.300000000000000711e+00,2.860000000000000142e+01
9.300000000000000711e+00,2.860000000000000142e+01
1.019999999999999929e+01,2.860000000000000142e+01
1.109999999999999964e+01,2.860000000000000142e+01
1.200000000000000000e+01,2.850000000000000000e+01
1.300000000000000000e+01,2.850000000000000000e+01
1.390000000000000036e+01,2.850000000000000000e+01
1.480000000000000071e+01,2.850000000000000000e+01
1.569999999999999929e+01,2.460000000000000142e+01
1.669999999999999929e+01,2.460000000000000142e+01
1.760000000000000142e+01,2.460000000000000142e+01
1.850000000000000000e+01,2.460000000000000142e+01
1.939999999999999858e+01,2.460000000000000142e+01
2.039999999999999858e+01,2.460000000000000142e+01
2.130000000000000071e+01,2.460000000000000142e+01
2.219999999999999929e+01,2.460000000000000142e+01
2.310000000000000142e+01,2.460000000000000142e+01
2.410000000000000142e+01,2.460000000000000142e+01
2.500000000000000000e+01,2.460000000000000142e+01
2.589999999999999858e+01,2.460000000000000142e+01
2.689999999999999858e+01,2.460000000000000142e+01
2.780000000000000071e+01,2.460000000000000142e+01
2.869999999999999929e+01,2.460000000000000142e+01
2.960000000000000142e+01,2.460000000000000142e+01
3.060000000000000142e+01,2.460000000000000142e+01
3.150000000000000000e+01,2.469999999999999929e+01
3.239999999999999858e+01,2.469999999999999929e+01
3.329999999999999716e+01,2.469999999999999929e+01
3.429999999999999716e+01,2.469999999999999929e+01
3.520000000000000284e+01,2.489999999999999858e+01
3.610000000000000142e+01,2.489999999999999858e+01
3.700000000000000000e+01,2.500000000000000000e+01
3.800000000000000000e+01,2.689999999999999858e+01
3.889999999999999858e+01,2.689999999999999858e+01
3.979999999999999716e+01,2.689999999999999858e+01
4.070000000000000284e+01,2.689999999999999858e+01
4.170000000000000284e+01,2.700000000000000000e+01
4.260000000000000142e+01,2.819999999999999929e+01
4.350000000000000000e+01,2.819999999999999929e+01
4.439999999999999858e+01,2.819999999999999929e+01
4.539999999999999858e+01,2.389999999999999858e+01
4.629999999999999716e+01,2.380000000000000071e+01
4.720000000000000284e+01,2.369999999999999929e+01
4.810000000000000142e+01,2.369999999999999929e+01
4.910000000000000142e+01,2.369999999999999929e+01
5.000000000000000000e+01,2.260000000000000142e+01
5.089999999999999858e+01,2.260000000000000142e+01
5.189999999999999858e+01,2.260000000000000142e+01
5.279999999999999716e+01,2.260000000000000142e+01
5.370000000000000284e+01,2.260000000000000142e+01
5.460000000000000142e+01,1.900000000000000000e+01
5.560000000000000142e+01,1.889999999999999858e+01
5.650000000000000000e+01,1.889999999999999858e+01
5.739999999999999858e+01,1.880000000000000071e+01
5.829999999999999716e+01,1.880000000000000071e+01
5.929999999999999716e+01,1.880000000000000071e+01
6.020000000000000284e+01,1.880000000000000071e+01
6.110000000000000142e+01,1.880000000000000071e+01
6.200000000000000000e+01,1.880000000000000071e+01
6.300000000000000000e+01,1.880000000000000071e+01
6.389999999999999858e+01,1.880000000000000071e+01
6.479999999999999716e+01,1.880000000000000071e+01
6.570000000000000284e+01,1.880000000000000071e+01
6.670000000000000284e+01,1.880000000000000071e+01
6.759999999999999432e+01,1.880000000000000071e+01
6.850000000000000000e+01,1.880000000000000071e+01
6.940000000000000568e+01,1.880000000000000071e+01
7.040000000000000568e+01,1.880000000000000071e+01
7.129999999999999716e+01,1.880000000000000071e+01
7.220000000000000284e+01,1.880000000000000071e+01
7.309999999999999432e+01,1.880000000000000071e+01
7.409999999999999432e+01,1.880000000000000071e+01
7.500000000000000000e+01,1.880000000000000071e+01
7.590000000000000568e+01,1.880000000000000071e+01
7.690000000000000568e+01,1.880000000000000071e+01
7.779999999999999716e+01,1.880000000000000071e+01
7.870000000000000284e+01,1.889999999999999858e+01
7.959999999999999432e+01,1.900000000000000000e+01
8.059999999999999432e+01,1.900000000000000000e+01
8.150000000000000000e+01,2.630000000000000071e+01
8.240000000000000568e+01,2.630000000000000071e+01
8.329999999999999716e+01,2.630000000000000071e+01
8.429999999999999716e+01,2.630000000000000071e+01
8.520000000000000284e+01,2.630000000000000071e+01
8.609999999999999432e+01,2.630000000000000071e+01
8.700000000000000000e+01,2.010000000000000142e+01
8.800000000000000000e+01,1.219999999999999929e+01
8.890000000000000568e+01,1.059999999999999964e+01
8.979999999999999716e+01,1.059999999999999964e+01
9.070000000000000284e+01,1.050000000000000000e+01
9.170000000000000284e+01,1.040000000000000036e+01
9.259999999999999432e+01,1.040000000000000036e+01
9.350000000000000000e+01,1.030000000000000071e+01
9.440000000000000568e+01,1.030000000000000071e+01
9.540000000000000568e+01,1.030000000000000071e+01
9.629999999999999716e+01,1.030000000000000071e+01
9.720000000000000284e+01,1.009999999999999964e+01
9.809999999999999432e+01,1.009999999999999964e+01
9.909999999999999432e+01,1.009999999999999964e+01
1.000000000000000000e+02,1.009999999999999964e+01
1.009000000000000057e+02,5.900000000000000355e+00
1.019000000000000057e+02,5.000000000000000000e+00
1.027999999999999972e+02,5.099999999999999645e+00
1.037000000000000028e+02,6.400000000000000355e+00
1.045999999999999943e+02,1.009999999999999964e+01
1.055999999999999943e+02,1.009999999999999964e+01
1.065000000000000000e+02,1.009999999999999964e+01
1.074000000000000057e+02,1.030000000000000071e+01
1.082999999999999972e+02,1.030000000000000071e+01
1.092999999999999972e+02,1.030000000000000071e+01
1.102000000000000028e+02,1.030000000000000071e+01
1.110999999999999943e+02,1.040000000000000036e+01
1.120000000000000000e+02,1.040000000000000036e+01
1.130000000000000000e+02,1.050000000000000000e+01
1.139000000000000057e+02,1.059999999999999964e+01
1.147999999999999972e+02,1.059999999999999964e+01
1.157000000000000028e+02,1.059999999999999964e+01
1.167000000000000028e+02,1.150000000000000000e+01
1.175999999999999943e+02,1.769999999999999929e+01
1.185000000000000000e+02,2.430000000000000071e+01
1.194000000000000057e+02,2.830000000000000071e+01
1.204000000000000057e+02,2.830000000000000071e+01
1.212999999999999972e+02,2.830000000000000071e+01
1.222000000000000028e+02,2.280000000000000071e+01
1.230999999999999943e+02,2.269999999999999929e+01
1.240999999999999943e+02,2.269999999999999929e+01
1.250000000000000000e+02,2.260000000000000142e+01
1.259000000000000057e+02,2.260000000000000142e+01
1.269000000000000057e+02,2.250000000000000000e+01
1.277999999999999972e+02,2.239999999999999858e+01
1.286999999999999886e+02,1.889999999999999858e+01
1.295999999999999943e+02,1.889999999999999858e+01
1.305999999999999943e+02,1.880000000000000071e+01
1.315000000000000000e+02,1.880000000000000071e+01
1.324000000000000057e+02,1.869999999999999929e+01
1.333000000000000114e+02,1.869999999999999929e+01
1.343000000000000114e+02,1.860000000000000142e+01
1.351999999999999886e+02,1.860000000000000142e+01
1.360999999999999943e+02,1.850000000000000000e+01
1.370000000000000000e+02,1.850000000000000000e+01
1.380000000000000000e+02,1.850000000000000000e+01
1.389000000000000057e+02,1.850000000000000000e+01
1.398000000000000114e+02,1.860000000000000142e+01
1.406999999999999886e+02,1.860000000000000142e+01
1.416999999999999886e+02,1.860000000000000142e+01
1.425999999999999943e+02,1.860000000000000142e+01
1.435000000000000000e+02,1.860000000000000142e+01
1.444000000000000057e+02,1.860000000000000142e+01
1.454000000000000057e+02,1.860000000000000142e+01
1.463000000000000114e+02,1.860000000000000142e+01
1.471999999999999886e+02,1.869999999999999929e+01
1.480999999999999943e+02,1.869999999999999929e+01
1.490999999999999943e+02,1.869999999999999929e+01
1.500000000000000000e+02,1.869999999999999929e+01
1.509000000000000057e+02,1.869999999999999929e+01
1.519000000000000057e+02,1.869999999999999929e+01
1.528000000000000114e+02,1.869999999999999929e+01
1.536999999999999886e+02,3.000000000000000000e+01
1.545999999999999943e+02,3.000000000000000000e+01
